Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10663","","3.3","Low","192.168.1.1","udp","67","DHCP Server Detection","The remote DHCP server may expose information about the associated
network.","This script contacts the remote DHCP server (if any) and attempts to
retrieve information about the network layout. 

Some DHCP servers provide sensitive information such as the NIS domain
name, or network layout information such as the list of the network
web servers, and so on. 

It does not demonstrate any vulnerability, but a local attacker may
use DHCP to become intimately familiar with the associated network.","Apply filtering to keep this information off the network and remove
any options that are not in use.","","
Nessus gathered the following information from the remote DHCP server :

  Master DHCP server of this network : 192.168.1.1
  IP address the DHCP server would attribute us : 192.168.1.126
  DHCP server(s) identifier : 192.168.1.1
  Netmask : 255.255.255.0
  Broadcast address : 192.168.1.255
  Domain name : lan1
  Domain name server(s) : 192.168.1.1
  Router : 192.168.1.1

"
"50686","CVE-1999-0511","5.8","Medium","192.168.1.1","tcp","0","IP Forwarding Enabled","The remote host has IP forwarding enabled.","The remote host has IP forwarding enabled. An attacker can exploit
this to route packets through the host and potentially bypass some
firewalls / routers / NAC filtering.

Unless the remote host is a router, it is recommended that you disable
IP forwarding.","On Linux, you can disable IP forwarding by doing :

echo 0 > /proc/sys/net/ipv4/ip_forward

On Windows, set the key 'IPEnableRouter' to 0 under

HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters

On Mac OS X, you can disable IP forwarding by executing the command :

sysctl -w net.inet.ip.forwarding=0

For other systems, check with your vendor.","","IP forwarding appears to be enabled on the remote host.

 Detected local MAC Address        : d45763bf6ec7
 Response from local MAC Address   : d45763bf6ec7

 Detected Gateway MAC Address      : 1cb044b0945c
 Response from Gateway MAC Address : 1cb044b0945c"
"51192","","6.4","Medium","192.168.1.1","tcp","443","SSL Certificate Cannot Be Trusted","The SSL certificate for this service cannot be trusted.","The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.","Purchase or generate a proper SSL certificate for this service.","https://www.itu.int/rec/T-REC-X.509/en
https://en.wikipedia.org/wiki/X.509","
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : C=CN/ST=TW/L=TB/O=ASKEY/OU=ROUTER/CN=askey.com/E=askey@askey.com
|-Issuer  : C=CN/ST=TW/L=TB/O=ASKEY/OU=ROUTER/CN=askey.com/E=askey@askey.com
"
"57582","","6.4","Medium","192.168.1.1","tcp","443","SSL Self-Signed Certificate","The SSL certificate chain for this service ends in an unrecognized
self-signed certificate.","The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.","Purchase or generate a proper SSL certificate for this service.","","
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : C=CN/ST=TW/L=TB/O=ASKEY/OU=ROUTER/CN=askey.com/E=askey@askey.com
"
"51192","","6.4","Medium","192.168.1.126","tcp","8834","SSL Certificate Cannot Be Trusted","The SSL certificate for this service cannot be trusted.","The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.","Purchase or generate a proper SSL certificate for this service.","https://www.itu.int/rec/T-REC-X.509/en
https://en.wikipedia.org/wiki/X.509","
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : O=Nessus Users United/OU=Nessus Server/L=New York/C=US/ST=NY/CN=Mariams-MacBook-Air.local
|-Issuer  : O=Nessus Users United/OU=Nessus Certification Authority/L=New York/C=US/ST=NY/CN=Nessus Certification Authority
"
"153583","CVE-2021-40438","6.8","Critical","192.168.1.126","tcp","0","Apache < 2.4.49 Multiple Vulnerabilities","The remote web server is affected by a vulnerability.","The version of Apache httpd installed on the remote host is prior to 2.4.49. It is, therefore, affected by a
vulnerability as referenced in the 2.4.49 changelog.

  - A crafted request uri-path can cause mod_proxy to forward the request to an origin server choosen by the
  remote user. (CVE-2021-40438)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version
number.","Upgrade to Apache version 2.4.49 or later.","https://downloads.apache.org/httpd/CHANGES_2.4
https://httpd.apache.org/security/vulnerabilities_24.html","
  Path              : /usr/sbin/httpd
  Installed version : 2.4.48
  Fixed version     : 2.4.49
"
"153584","CVE-2021-34798","7.5","Critical","192.168.1.126","tcp","0","Apache < 2.4.49 Multiple Vulnerabilities","The remote web server is affected by a vulnerability.","The version of Apache httpd installed on the remote host is prior to 2.4.49. It is, therefore, affected by multiple
vulnerabilities as referenced in the 2.4.49 changelog.

  - ap_escape_quotes() may write beyond the end of a buffer when given malicious input. No included modules pass
    untrusted data to these functions, but third-party / external modules may. (CVE-2021-39275)

  - Malformed requests may cause the server to dereference a NULL pointer. (CVE-2021-34798)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version
number.","Upgrade to Apache version 2.4.49 or later.","https://downloads.apache.org/httpd/CHANGES_2.4
https://httpd.apache.org/security/vulnerabilities_24.html","
  Path              : /usr/sbin/httpd
  Installed version : 2.4.48
  Fixed version     : 2.4.49
"
"153584","CVE-2021-39275","7.5","Critical","192.168.1.126","tcp","0","Apache < 2.4.49 Multiple Vulnerabilities","The remote web server is affected by a vulnerability.","The version of Apache httpd installed on the remote host is prior to 2.4.49. It is, therefore, affected by multiple
vulnerabilities as referenced in the 2.4.49 changelog.

  - ap_escape_quotes() may write beyond the end of a buffer when given malicious input. No included modules pass
    untrusted data to these functions, but third-party / external modules may. (CVE-2021-39275)

  - Malformed requests may cause the server to dereference a NULL pointer. (CVE-2021-34798)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version
number.","Upgrade to Apache version 2.4.49 or later.","https://downloads.apache.org/httpd/CHANGES_2.4
https://httpd.apache.org/security/vulnerabilities_24.html","
  Path              : /usr/sbin/httpd
  Installed version : 2.4.48
  Fixed version     : 2.4.49
"
"153585","CVE-2021-33193","5.0","High","192.168.1.126","tcp","0","Apache >= 2.4.17 < 2.4.49 mod_http2","The remote web server is affected by a vulnerability.","The version of Apache httpd installed on the remote host is greater than 2.4.17 and prior to 2.4.49. It is, therefore,
affected by a vulnerability as referenced in the 2.4.49 changelog. A crafted method sent through HTTP/2 will bypass
validation and be forwarded by mod_proxy, which can lead to request splitting or cache poisoning.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version
number.","Upgrade to Apache version 2.4.49 or later.","https://downloads.apache.org/httpd/CHANGES_2.4
https://httpd.apache.org/security/vulnerabilities_24.html","
  Path              : /usr/sbin/httpd
  Installed version : 2.4.48
  Fixed version     : 2.4.49
"
"153586","CVE-2021-36160","5.0","High","192.168.1.126","tcp","0","Apache >= 2.4.30 < 2.4.49 mod_proxy_uwsgi","The remote web server is affected by a vulnerability.","The version of Apache httpd installed on the remote host greater than 2.4.30 and is prior to 2.4.49. It is, therefore,
affected by a vulnerability as referenced in the 2.4.49 changelog. A carefully crafted request uri-path can cause
mod_proxy_uwsgi to read above the allocated memory and crash (DoS).

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version
number.","Upgrade to Apache version 2.4.49 or later.","https://downloads.apache.org/httpd/CHANGES_2.4
https://httpd.apache.org/security/vulnerabilities_24.html","
  Path              : /usr/sbin/httpd
  Installed version : 2.4.48
  Fixed version     : 2.4.49
"
